S2_0min_R1	S2_0min_R2	S2_2.5min_R2	S2_5min_R1	S2_5min_R2	S2_10min_R1	S2_10min_R2	S2_20min_R1	S2_20min_R2
4557.48314567057	2977.41225123774	3736.47064288229	3163.3933910746	3290.96353429784	2211.33282810885	1689.72894763504	1080	1173.76887637889
2.05941398358363	0	0	0	0.887052165578933	1.91291767137444	1.13607952552782	0	0.598556285761799
2804.23537431304	2044.06206517167	2364.78110835575	2030.57489464234	2011.83431153302	1143.92476748192	867.207371152902	719	614.717305477368
1310.47376488705	883.663754328059	432.475362796587	236.870268208501	256.358075852312	181.727178780572	92.4011347429293	116	94.5718931503643
838.867962646398	581.142568682652	647.256898192198	536.122400945195	529.570142850623	307.023286255598	241.984938937425	174	143.05495229707
4144.22740629812	2962.31763906417	798.696082471137	439.385306676838	454.170708776414	370.149569410954	144.660792917209	251	220.867269446104
4147.65976293743	2967.97811862926	801.608374476502	443.001646649487	455.944813107572	371.106028246641	146.175565617913	252	220.867269446104
170.24488930958	114.467475649613	99.7460011837245	88.6003293298974	72.7382775774725	60.2569066482949	51.1235786487519	62	38.3076022887552
2308.60307559725	1378.01230301265	2197.3243180473	2233.99401810384	1916.91972981607	2094.64485015501	1208.40992198642	1525	1342.56174896372
622.629494370117	366.673287383102	664.002577223042	598.504265473389	502.958577883255	472.490664829487	284.019881381955	316	333.395851169322
624.688908353701	364.786460861405	662.54643122036	598.504265473389	502.958577883255	474.403582500861	284.019881381955	316	332.79729488356
740.702562762245	471.077688250332	349.475040643706	258.568308044394	238.617032540733	146.338201860145	104.140623173383	75	59.8556285761799
6558.547066386	4459.82895511763	5486.75813810619	5410.94868407588	5309.00721098991	4313.62934894936	1962.7667269369	2710	2285.28789903855
246.443206702174	155.348716953047	70.6230811300823	37.9715697128132	52.336077769157	39.214812263176	22.7215905105564	20	20.3509137159012
85.8089159826512	53.4600847814128	24.7544820455959	26.2184648017043	27.4986171329469	11.4775060282466	12.8755679559819	10	7.78123171490339
2833.06717008321	1935.25506908714	2169.65754399634	2105.61394907481	2114.73236274018	1457.64326558732	1186.82441100139	820	782.313065490672
2574.26747947954	1938.39977995664	2203.14890205803	2387.68846694142	2419.87830769933	2473.40254908715	2166.12496200637	1646	1361.11699382233
3322.52122684825	2066.70398343203	2364.78110835575	2033.28714962183	1927.56435580302	1405.99448846021	742.238623344842	951	839.175912638043
732.464906827911	489.945953467301	609.397102122463	592.175670521253	541.101821003149	452.405029280055	274.552552002556	280	187.348117443443
142.786036195132	80.5045982590687	41.5001610764401	33.4511447470021	32.8209301264205	34.4325180847399	15.9051133573895	27	16.7595760013304
3097.35863130978	2152.24011908229	3261.03897300659	3072.08080676522	3033.71840627995	2596.7857388908	1958.60110200996	1708	1737.01034128074
441.401063814758	315.100029123386	192.211272354039	131.092324008522	132.170772671261	56.431071305546	29.9167608388992	37	22.1465825731866
663.81777404179	430.825389120797	205.316586378178	119.339219097413	125.07435534663	86.0812952118498	48.4727264225203	66	54.4686220043237
666.563659353234	431.454331294696	206.77273238086	119.339219097413	125.07435534663	86.0812952118498	48.8514195976962	67	54.4686220043237
5046.25073110775	3555.4101090509	1799.79645931509	1271.14350038608	1175.34411939209	767.079986221151	417.698572219061	446	332.198738597799
3176.98930534168	2386.20660777271	2924.66924638702	2371.4149370645	2485.52016795217	1911.96121253875	1333.37866979448	1131	874.490733497989
632.926564288035	405.038759990939	267.930864493508	153.694448837577	151.685920313998	104.254013089907	59.8335216777985	63	44.891721432135
4519.04075131034	3499.43425557389	3865.33956411966	4283.55469760259	3715.86152161015	2679.0411987599	1591.64741526447	1965	1657.40235527442
317.83622479974	225.161298255833	313.071390576654	274.841837921314	270.550910501575	228.593661729246	142.009940690977	159	123.901151152692
220.357296243448	140.254104779471	62.6142781153307	28.0266347880288	30.1597736296837	21.9985532208061	12.496874780806	12	11.3725694294742
389.915714225167	274.847729993852	372.77337668662	306.484812681992	290.066058144311	222.854908715122	132.921304486755	149	115.521363152027
621.256551714395	537.116616509724	552.607408017861	566.861290712711	585.454429282096	558.571960041337	377.557095650412	296	251.393640019956
522.404680502381	319.502624340679	212.597316391588	119.339219097413	106.446259869472	59.3004478126077	36.7332379920662	24	19.7523574301394
23.3400251472811	14.4656699996764	5.09651100938738	3.61633997264887	7.9834694902104	6.69521184981054	6.81647715316691	3	3.5913377145708
299.987970275349	215.098223473449	97.5617821797014	61.4777795350308	47.0137647756834	25.8243885635549	10.6034089049263	9	13.1682382867596
733.837849483633	522.650946510048	659.634139214996	816.388748825483	831.16787914746	988.978436100586	626.73720491618	580	584.789491189278
