gene	cluster
NM_133953.2	1
NM_009149.2	1
NM_146218.4	1
NM_001130868.2	2
NM_026572.3	1
NM_001167910.1	1
NM_001308449.1	1
NM_010926.5	1
NM_001166482.1	2
NM_011404.3	1
NM_001301284.1	3
NM_013914.2	3
NM_016925.3	2
NM_019552.2	4
NM_145607.3	2
NM_025615.2	2
NM_024214.2	1
NM_172762.2	2
NM_023858.3	1
NM_029248.2	2
NM_001252658.1	2
NM_001129787.1	1
NM_172766.3	1
NM_031165.4	2
NM_010436.2	2
NM_146000.2	4
NM_001310841.1	2
NM_001025600.1	1
NM_001004191.3	2
NM_028049.2	4
NM_001122873.1	2
NM_028121.2	1
NM_024212.4	2
NM_183316.2	3
NM_001324556.1	1
NM_001311101.1	2
NM_001039519.2	1
NM_026337.1	1
NM_025690.3	1
NR_040719.1	2
NM_031403.3	1
NM_016802.5	4
NM_001114119.1	2
NM_011830.3	3
NM_009211.2	1
NM_028312.3	4
NM_011029.4	2
NM_025974.2	2
NM_001081188.1	4
NR_037622.1	2
NM_001199485.1	2
NM_001199484.1	2
NM_001199431.1	2
NR_038081.2	1
NM_001039824.2	3
NM_027911.3	1
NM_001324510.1	2
NM_001205157.1	2
NM_145611.4	4
NM_028390.3	2
NM_001102455.1	2
NM_029762.1	2
NM_007691.5	3
NM_001081429.1	2
NM_008775.3	2
NM_001326355.1	1
NM_176831.4	4
NM_018853.3	2
NR_039595.1	1
NM_027090.1	4
NM_008927.3	1
NR_002852.3	3
NM_033604.2	1
NM_015806.5	2
NM_001146048.1	2
NM_001081282.2	1
NM_172926.3	3
NR_040721.1	2
NM_053268.2	4
NM_001253834.1	2
NM_029103.3	2
NM_008138.4	2
NM_011790.4	4
NM_026917.5	1
NM_010828.3	1
NM_001025392.1	2
NM_027930.3	3
NM_011361.3	2
NR_002842.1	3
NM_016898.2	2
NM_027772.2	2
NM_172939.3	4
NM_008162.3	4
NM_001305798.1	1
NM_007705.2	1
NM_009091.2	2
NM_001310726.1	2
NM_008655.1	2
NM_023138.4	1
NM_007907.2	2
NM_001190474.1	3
NM_001033375.2	4
NM_007569.2	2
NM_026268.3	2
NM_001033261.2	1
NM_001290183.1	1
NM_019766.4	1
NM_019953.1	2
NM_001164237.1	2
NM_001253705.1	1
NM_025995.2	1
NM_011295.6	2
NM_026113.4	1
NM_009665.5	2
NM_001024910.3	1
NM_029083.2	2
NM_019553.2	2
NM_001079824.1	2
NM_007659.3	2
NM_010798.2	1
NM_001014836.3	3
NM_010914.2	2
NM_011631.1	1
NM_001080129.2	1
NM_007706.4	1
NM_024454.1	2
NM_001037846.3	4
NM_026570.4	1
NM_001310609.1	2
NM_001288586.2	2
NM_027994.1	1
NM_001317217.1	2
NM_134003.1	4
NM_018860.4	2
NM_013765.2	2
NR_015577.1	1
NM_001146308.1	2
NM_019661.4	2
NM_008907.1	2
NM_001035226.1	2
NM_001282118.1	1
NM_008143.3	1
NM_013529.3	1
NM_021510.2	2
NM_001304744.1	1
NM_028398.2	1
NM_011543.4	2
